Region, rmse, r2
Seoul,6.3611293313081525,0.840668797492981
Busan,2.73229081423755,0.9232364296913147
Daegu,3.611416590232704,0.9409657120704651
Incheon,8.558560766994866,0.9188492298126221
Gwangju,3.299787780411333,0.8349148035049438
Daejeon,4.883905736989887,0.9026106595993042
Ulsan,2.625007356905846,0.8660895228385925
Sejong,9.653048777873641,0.8989616632461548
Gyeonggi,10.705833727153482,0.909761905670166
Gangwon,2.777581699656484,0.892263650894165
Chungbuk,2.567465831971254,0.8626490235328674
Chungnam,3.6214126726297566,0.8471380472183228
Jeonbuk,2.837629333775093,0.876642107963562
Jeonnam,2.0351783912318258,0.8483704328536987
Gyeongbuk,2.261612489407965,0.7897265553474426
Gyeongnam,1.7937135832276556,0.8919822573661804
Jeju,2.882989149186339,0.523162841796875
