Region, rmse, r2
Seoul,11.725913175310565,0.4344003200531006
Busan,6.5889536692347646,0.5331626534461975
Daegu,6.424975906505014,0.8108075857162476
Incheon,21.50143214933964,0.5018320083618164
Gwangju,5.986921361307045,0.4859418272972107
Daejeon,10.995189308386013,0.4903956651687622
Ulsan,5.477412398668098,0.39062005281448364
Sejong,15.097273705535173,0.7625455856323242
Gyeonggi,27.60710344539121,0.41456788778305054
Gangwon,6.3626997221231685,0.6001908779144287
Chungbuk,5.980011068480592,0.4826337695121765
Chungnam,7.107692108509977,0.478790819644928
Jeonbuk,6.382305073733096,0.49094080924987793
Jeonnam,3.131979358268914,0.6275756359100342
Gyeongbuk,4.748378677731871,0.2267724871635437
Gyeongnam,4.229319126531817,0.44050443172454834
Jeju,3.89094180613549,0.39817744493484497
